"internationallettersigned","Royal Mail International Signed Letter"
"internationallettertrackedsigned","Royal Mail International Tracked and Signed Letter"
"internationallargelettertrackedandsigned","Royal Mail International Tracked and Signed Large Letter"
"specialdelivery1pm","Royal Mail Special Delivery: Guaranteed by 1pm"
"specialdelivery1pmsaturday","Royal Mail Special Delivery: Guaranteed by 1pm Saturday"
"specialdelivery9amsaturday","Royal Mail Special Delivery: Guaranteed by 9am Saturday"
"letter","Royal Mail Standard First Class Letter"
"largeletter","Royal Mail Standard First Class Large Letter"
"firstclasssmall","Royal Mail Standard First Class Small Parcel"
"firstclassmedium","Royal Mail Standard First Class Medium Parcel"
"firstclassrecordedsignedforsmall","Royal Mail First Class Parcel Small - Signed For"
"firstclassrecordedsignedformedium","Royal Mail First Class Parcel Medium - Signed For"